rule
ɹ -> ∅ / ⋊ h ɑ __ t ⋉
æ -> a / ⋊ b __ n d ⋉
d -> t / ⋊ b æ n __ ⋉
ɔ -> ʊ / ⋊ __ f ɪ s ⋉
f -> ∅ / ⋊ ɔ __ ɪ s ⋉
k -> ʔ / ⋊ __ o ʊ m ⋉
o -> ʊ / ⋊ k __ ʊ m ⋉
∅ -> ə / ⋊ __ s t ɪ k ⋉
o -> ʊ / ⋊ θ ɹ __ ʊ t ⋉
e -> i / ⋊ b ɫ __ ɪ d ⋉
d -> t / ⋊ b ɫ e ɪ __ ⋉
p -> ʔ / ⋊ __ ə m p ⋉
k -> ɡ / ⋊ b ə __ ə t ⋉
∅ -> ə / ⋊ __ s t ɛ m ⋉
ɹ̩ -> ɹ / ⋊ f ɪ ŋ ɡ __ ⋉
∅ -> ə / ⋊ __ s k ɹ̩ t ⋉
ɹ̩ -> ɹ / ⋊ s k __ t ⋉
∅ -> ə / ⋊ __ s k u ɫ ⋉
æ -> a / ⋊ f ɫ __ ɡ ⋉
ɡ -> k / ⋊ f ɫ æ __ ⋉
o -> ʊ / ⋊ n __ ʊ z ⋉
z -> s / ⋊ n o ʊ __ ⋉
p -> ʔ / ⋊ __ ɪ k t͡ʃ ɹ̩ ⋉
ɹ̩ -> ɹ / ⋊ p ɪ k t͡ʃ __ ⋉
ɹ -> ∅ / ⋊ h ɔ __ s ⋉
e -> i / ⋊ f __ ɪ s ⋉
ɔ -> ʏ / ⋊ b __ ɪ ⋉
æ -> a / ⋊ ɹ __ t ⋉
o -> ʊ / ⋊ ɡ __ ʊ t ⋉
d -> t / ⋊ s i __ ⋉
ɹ -> ∅ / ⋊ ɑ __ m ⋉
t -> d / ⋊ h ɑ s p ɪ __ ə ɫ ⋉
ɫ -> ∅ / ⋊ ʃ ɛ __ f ⋉
t -> ʔ / ⋊ __ e ɪ ɫ ⋉
e -> i / ⋊ t __ ɪ ɫ ⋉
ɹ̩ -> ɹ / ⋊ s __ k ə ɫ ⋉
k -> ɡ / ⋊ s ɹ̩ __ ə ɫ ⋉
æ -> a / ⋊ h __ n d ⋉
d -> t / ⋊ h æ n __ ⋉
h -> ∅ / ⋊ __ w i ɫ ⋉
∅ -> ə / ⋊ __ s p e ɪ d ⋉
e -> i / ⋊ s p __ ɪ d ⋉
