rule
æ -> a / ⋊ k __ ɹ ɪ d͡ʒ ⋉
ɹ -> j / ⋊ k æ __ ɪ d͡ʒ ⋉
d͡ʒ -> t͡ʃ / ⋊ k æ ɹ ɪ __ ⋉
ɫ -> ∅ / ⋊ b ə __ b ⋉
ɹ̩ -> ɹ / ⋊ w __ m ⋉
b -> ∅ / ⋊ __ ɹ e ɪ n ⋉
ɡ -> k / ⋊ ɫ ɛ __ ⋉
d -> j / ⋊ n i __ ə ɫ ⋉
ɹ̩ -> ɹ / ⋊ s __ k ə ɫ ⋉
ɡ -> k / ⋊ ɛ __ ⋉
æ -> a / ⋊ h __ n d ⋉
n -> ∅ / ⋊ h æ __ d ⋉
ɹ -> ∅ / ⋊ h ɑ __ t ⋉
t -> d / ⋊ h ɑ ɹ __ ⋉
b -> j / ⋊ b e ɪ __ i ⋉
b -> ∅ / ⋊ __ ɹ æ n t͡ʃ ⋉
æ -> a / ⋊ b ɹ __ n t͡ʃ ⋉
n -> ∅ / ⋊ b ɹ æ __ t͡ʃ ⋉
t͡ʃ -> d͡ʒ / ⋊ b ɹ æ n __ ⋉
ɹ -> j / ⋊ ɔ __ ə n d͡ʒ ⋉
n -> ∅ / ⋊ ɔ ɹ ə __ d͡ʒ ⋉
∅ -> ə / ⋊ __ s p ɹ ɪ ŋ ⋉
s -> ∅ / ⋊ __ p ɹ ɪ ŋ ⋉
ɡ -> k / ⋊ p ɪ __ ⋉
∅ -> ə / ⋊ s __ n e ɪ k ⋉
∅ -> ə / ⋊ __ s t ə m ə k ⋉
s -> ∅ / ⋊ __ t ə m ə k ⋉
b -> ∅ / ⋊ __ ɹ ə ʃ ⋉
p -> ∅ / ⋊ __ ɫ e ɪ n ⋉
d -> ∅ / ⋊ __ ɹ ɑ p ⋉
d -> ∅ / ⋊ __ ɹ e ɪ n ⋉
ɹ -> ∅ / ⋊ h ɔ __ n ⋉
ɹ -> ∅ / ⋊ ɑ __ m ⋉
æ -> a / ⋊ h __ m ɹ̩ ⋉
ɹ̩ -> ɹ / ⋊ h æ m __ ⋉
ɹ̩ -> ɹ / ⋊ k __ t ə n ⋉
p -> ∅ / ⋊ __ ɫ a ʊ ⋉
a -> ɑ / ⋊ p ɫ __ ʊ ⋉
∅ -> ə / ⋊ __ s t ɹ i t ⋉
s -> ∅ / ⋊ __ t ɹ i t ⋉
t -> ∅ / ⋊ __ ɹ i ⋉
ɹ -> ∅ / ⋊ ɑ __ t͡ʃ ⋉
t͡ʃ -> d͡ʒ / ⋊ ɑ ɹ __ ⋉
s -> ∅ / ⋊ t͡ʃ ɛ __ t ⋉
∅ -> ə / ⋊ __ s p u n ⋉
s -> ∅ / ⋊ __ p u n ⋉
∅ -> ə / ⋊ __ s t æ m p ⋉
s -> ∅ / ⋊ __ t æ m p ⋉
æ -> a / ⋊ s t __ m p ⋉
m -> ∅ / ⋊ s t æ __ p ⋉
p -> b / ⋊ s t æ m __ ⋉
k -> ∅ / ⋊ p ɪ __ t͡ʃ ɹ̩ ⋉
ɹ̩ -> ɹ / ⋊ p ɪ k t͡ʃ __ ⋉
ɡ -> ∅ / ⋊ __ ɫ ə v ⋉
v -> f / ⋊ ɡ ɫ ə __ ⋉
æ -> a / ⋊ __ p ə ɫ ⋉
æ -> a / ⋊ h __ t ⋉
ɹ -> ∅ / ⋊ ɑ __ m i ⋉
æ -> a / ⋊ k __ m ɹ̩ ə ⋉
ɹ̩ -> ɹ / ⋊ k æ m __ ə ⋉
∅ -> ə / ⋊ __ s t ɑ ɹ ⋉
s -> ∅ / ⋊ __ t ɑ ɹ ⋉
∅ -> ə / ⋊ f __ ɫ ɔ ɹ ⋉
ɫ -> j / ⋊ f __ ɔ ɹ ⋉
ŋ -> ∅ / ⋊ f ɪ __ ɡ ɹ̩ ⋉
ɹ̩ -> ɹ / ⋊ f ɪ ŋ ɡ __ ⋉
d -> ∅ / ⋊ __ ɹ ɛ s ⋉
æ -> a / ⋊ b __ θ ⋉
